Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,VK2RBV B Sydney,438.7750,-,5.000,,88.5,88.5,023,NN,DV,5.00,,VK2RBV B Sydney,CQCQCQ,VK2RBV B,VK2RBV G
1,VK2RBV B Echo,438.7750,-,5.000,,88.5,88.5,023,NN,DV,5.00,,VK2RBV B Echo,       E,VK2RBV B,VK2RBV G
2,VK2RBV B Status,438.7750,-,5.000,,88.5,88.5,023,NN,DV,5.00,,VK2RBV B Status,       I,VK2RBV B,VK2RBV G
3,VK2RBV B Unlink,438.7750,-,5.000,,88.5,88.5,023,NN,DV,5.00,,VK2RBV B Unlink,       U,VK2RBV B,VK2RBV G
4,VK2RBV B LinkR01A,438.7750,-,5.000,,88.5,88.5,023,NN,DV,5.00,,VK2RBV B LinkR01A,REF001AL,VK2RBV B,VK2RBV G
5,VK2RBV B LinkD14B,438.7750,-,5.000,,88.5,88.5,023,NN,DV,5.00,,VK2RBV B LinkD14B,DCS014BL,VK2RBV B,VK2RBV G
6,VK2RBV 7 Sydney,438.1125,-,5.400,TSQL,91.5,91.5,023,NN,FM,5.00,,VK2RBV 7 Sydney,,VK2RBV 7,
7,VK2ROT 2 Paddo,147.0250,+,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,,VK2ROT 2 Paddo,,VK2ROT 2,
8,VK2ROT 7 Paddo,438.5750,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,,VK2ROT 7 Paddo,,VK2ROT 7,
9,VK2RCG 7 Sydney,439.8000,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,,VK2RCG 7 Sydney,,VK2RCG 7,
10,VK2RCF 7 Carlingford,438.4500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,,VK2RCF 7 Carlingford,,VK2RCF 7,
11,VK2RWI 2 Dural,147.0000,-,0.600,,88.5,88.5,023,NN,FM,5.00,,VK2RWI 2 Dural,,VK2RWI 2,
12,VK2RWI 7 Dural,438.5250,-,5.000,,88.5,88.5,023,NN,FM,5.00,,VK2RWI 7 Dural,,VK2RWI 7,
13,VK2RWIA7 Dural1,438.6000,-,5.000,,88.5,88.5,023,NN,FM,5.00,,VK2RWIA7 Dural1,,VK2RWIA7,
14,VK2RWIB7 Dural2,439.9000,-,5.000,,88.5,88.5,023,NN,FM,5.00,,VK2RWIB7 Dural2,,VK2RWIB7,
15,VK2RMP 2 Maddns,146.8500,-,0.600,,88.5,88.5,023,NN,FM,5.00,,VK2RMP 2 Maddns,,VK2RMP 2,
16,VK2RMP 7 Maddns,438.7250,-,5.000,TSQL,123,123,023,NN,FM,5.00,,VK2RMP 7 Maddns,,VK2RMP 7,
17,VK2RBM 2 Lawsn1,147.0500,+,0.600,TSQL,123,123,023,NN,FM,5.00,,VK2RBM 2 Lawsn1,,VK2RBM 2,
18,VK2RBM 7 Lawsn1,438.3750,-,5.000,TSQL,123,123,023,NN,FM,5.00,,VK2RBM 7 Lawsn1,,VK2RBM 7,
19,VK2RAG B Someb1,438.3250,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG B Someb1,CQCQCQ,VK2RAG B,VK2RAG G
20,VK2RAG B Echo,438.3250,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG B Echo,       E,VK2RAG B,VK2RAG G
21,VK2RAG B Status,438.3250,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG B Status,       I,VK2RAG B,VK2RAG G
22,VK2RAG B Unlink,438.3250,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG B Unlink,       U,VK2RAG B,VK2RAG G
23,VK2RAG B LinkR01A,438.3250,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG B LinkR01A,REF001AL,VK2RAG B,VK2RAG G
24,VK2RAG B LinkD14B,438.3250,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG B LinkD14B,DCS014BL,VK2RAG B,VK2RAG G
25,VK2RAG C Someb,146.6375,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG C Someb,CQCQCQ,VK2RAG C,VK2RAG G
26,VK2RAG C Echo,146.6375,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG C Echo,       E,VK2RAG C,VK2RAG G
27,VK2RAG C Status,146.6375,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG C Status,       I,VK2RAG C,VK2RAG G
28,VK2RAG C Unlink,146.6375,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG C Unlink,       U,VK2RAG C,VK2RAG G
29,VK2RAG C LinkR01A,146.6375,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG C LinkR01A,REF001AL,VK2RAG C,VK2RAG G
30,VK2RAG C LinkD14B,146.6375,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RAG C LinkD14B,DCS014BL,VK2RAG C,VK2RAG G
31,VK2RDS C Maddns,146.7625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RDS C Maddns,CQCQCQ,VK2RDS C,VK2RDS G
32,VK2RWN B Terrey Hills,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B Terrey Hills,CQCQCQ,VK2RWN B,VK2RWN G
33,VK2RWN B Echo,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B Echo,       E,VK2RWN B,VK2RWN G
34,VK2RWN B Status,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B Status,       I,VK2RWN B,VK2RWN G
35,VK2RWN B Unlink,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B Unlink,       U,VK2RWN B,VK2RWN G
36,VK2RWN B LinkR01A,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B LinkR01A,REF001AL,VK2RWN B,VK2RWN G
37,VK2RWN B LinkD14B,438.4000,-,5.400,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN B LinkD14B,DCS014BL,VK2RWN B,VK2RWN G
38,VK2RWN C Terrey Hills,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C Terrey Hills,CQCQCQ,VK2RWN C,VK2RWN G
39,VK2RWN C Echo,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C Echo,       E,VK2RWN C,VK2RWN G
40,VK2RWN C Status,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C Status,       I,VK2RWN C,VK2RWN G
41,VK2RWN C Unlink,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C Unlink,       U,VK2RWN C,VK2RWN G
42,VK2RWN C LinkR01A,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C LinkR01A,REF001AL,VK2RWN C,VK2RWN G
43,VK2RWN C LinkD14B,146.9625,-,0.600,,88.5,88.5,023,NN,DV,5.00,S,VK2RWN C LinkD14B,DCS014BL,VK2RWN C,VK2RWN G
44,VK2RAG 2 Someb,146.7250,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAG 2 Someb,,VK2RAG 2,
45,VK2RAGA2 Someb1,147.1250,+,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RAGA2 Someb1,,VK2RAGA2,
46,VK2RCZ 2 Lalor,147.0750,+,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RCZ 2 Lalor,,VK2RCZ 2,
